Folder,Sensor,Avg_Tau,Std_Tau,Avg_Intensity,Std_Intensity,Valid_Percent
0000,1,93.65304,18.509752,28227.393,6135.5454,99.94848016486347
0000,2,184.83342,51.195656,45785.78,8598.791,100.0
0000,3,210.24977,49.365273,50760.492,8565.331,100.0
0000,4,141.31714,25.831362,36966.746,6308.915,100.0
0001,1,106.944466,21.287693,28981.33,6351.3613,100.0
0001,2,205.00655,49.340862,46961.867,8789.28,100.0
0001,3,221.0569,42.631695,51740.414,8667.627,100.0
0001,4,150.9007,28.353195,37270.816,6377.336,100.0
0002,1,108.90044,21.669443,28291.078,6343.483,100.0
0002,2,206.98016,48.548046,46572.23,8926.13,100.0
0002,3,221.93872,41.714275,51436.01,8883.474,100.0
0002,4,152.32613,28.689756,37061.34,6399.709,100.0
0003,1,106.36618,21.291721,28753.322,6345.5054,100.0
0003,2,204.50882,49.28544,46915.613,8851.312,100.0
0003,3,220.11227,43.12287,51547.14,8721.427,100.0
0003,4,149.73405,28.060411,37181.227,6366.5166,100.0
0004,1,107.95179,21.79187,28797.068,6342.9185,100.0
0004,2,206.81085,48.81948,47030.164,8862.96,100.0
0004,3,221.21257,42.299923,51573.582,8740.083,100.0
0004,4,151.17065,28.531668,37166.336,6378.295,100.0
0005,1,102.58719,20.519073,28275.115,6253.363,100.0
0005,2,200.32571,50.12392,46494.367,8854.208,100.0
0005,3,216.99962,45.222862,51028.87,8790.251,100.0
0005,4,146.7815,27.16186,36854.023,6331.7134,100.0
0006,1,103.50233,20.837273,28395.574,6263.9004,100.0
0006,2,201.51736,49.901497,46638.426,8833.95,100.0
0006,3,217.45935,44.82816,51090.3,8771.033,100.0
0006,4,147.2063,27.213255,36873.848,6344.7505,100.0
0007,1,103.35493,20.673264,27999.332,6212.9487,100.0
0007,2,201.75334,49.93474,46317.414,8871.781,100.0
0007,3,217.39441,44.923637,50760.62,8850.524,100.0
0007,4,147.32895,27.434565,36619.16,6316.895,100.0
0008,1,99.35743,20.036629,27446.98,6132.5117,99.94848016486347
0008,2,196.42842,50.56031,45787.754,8873.569,100.0
0008,3,213.86856,46.887054,50247.12,8910.786,100.0
0008,4,144.40263,26.50672,36397.76,6305.9043,100.0
0009,1,102.77886,20.575489,27735.691,6185.244,100.0
0009,2,201.40561,50.063225,46128.56,8871.274,100.0
0009,3,216.60915,45.44279,50521.242,8903.478,100.0
0009,4,146.57219,27.219172,36626.586,6313.8994,100.0
0010,1,102.24155,20.680607,28127.65,6254.346,100.0
0010,2,199.73532,50.27781,46214.523,8881.214,100.0
0010,3,216.66995,45.36194,50919.445,8689.482,100.0
0010,4,145.55081,26.720793,36627.47,6299.2515,100.0
0011,1,101.1885,20.669886,27873.773,6230.492,100.0
0011,2,198.44649,50.278763,46127.977,8909.122,100.0
0011,3,215.25092,45.853104,50641.508,8796.345,100.0
0011,4,144.68263,26.42822,36432.555,6291.2246,100.0
0012,1,100.04179,20.303314,27552.758,6157.805,100.0
0012,2,197.38185,50.53849,45862.133,8912.868,100.0
0012,3,214.03835,46.634483,50264.195,8849.175,100.0
0012,4,143.62999,26.21481,36195.418,6259.7583,100.0
0013,1,98.566376,20.020775,27134.215,6118.663,99.89696032972695
0013,2,194.96346,50.485363,45535.82,8950.406,100.0
0013,3,212.12709,47.428604,49901.508,8931.124,100.0
0013,4,142.55531,25.77752,35917.527,6245.79,100.0
0014,1,99.64971,19.928911,27437.26,6110.7026,99.94848016486347
0014,2,196.54515,50.465984,45803.805,8873.921,100.0
0014,3,212.87839,47.119495,50036.965,8836.033,100.0
0014,4,143.44836,25.827623,36294.652,6263.591,100.0
0015,1,103.681816,21.071016,27745.258,6213.7163,99.94848016486347
0015,2,202.50363,49.667835,46262.72,8940.311,100.0
0015,3,216.4829,45.006092,50439.89,8881.871,100.0
0015,4,146.67017,26.89513,36455.453,6286.6772,100.0
0016,1,101.964645,20.535955,27536.564,6161.0234,99.94848016486347
0016,2,200.43544,50.035904,46031.04,8896.718,100.0
0016,3,214.87364,45.957516,50169.34,8879.085,100.0
0016,4,145.24658,26.58151,36442.27,6263.059,100.0
0017,1,100.07085,20.225046,27392.346,6147.621,99.94848016486347
0017,2,198.36702,50.38779,45869.402,8902.436,100.0
0017,3,213.18564,46.97003,49973.336,8902.978,100.0
0017,4,143.26239,26.1781,36301.164,6234.9087,100.0
0018,1,100.842545,20.517498,27091.408,6117.261,100.0
0018,2,199.02856,50.109795,45675.24,8963.187,100.0
0018,3,213.46365,46.565464,49759.895,8982.382,100.0
0018,4,143.95535,26.128304,36025.246,6252.5884,100.0
0019,1,99.26987,19.959246,27064.902,6105.094,99.94848016486347
0019,2,197.12798,50.69581,45530.676,8899.99,100.0
0019,3,211.93988,47.58497,49587.24,8954.318,100.0
0019,4,142.27579,25.845552,36035.8,6208.5747,100.0
0020,1,99.29902,20.090378,27467.99,6159.6035,99.94848016486347
0020,2,196.64645,50.648785,45715.016,8913.159,100.0
0020,3,212.73732,47.241325,50089.473,8736.173,100.0
0020,4,143.10262,25.932203,36293.83,6222.625,100.0
0021,1,98.632355,20.011097,27305.549,6122.9067,100.0
0021,2,196.09705,50.84613,45667.586,8905.471,100.0
0021,3,211.76654,47.642815,49807.727,8812.906,100.0
0021,4,142.38527,25.884077,36203.094,6202.8384,100.0
0022,1,96.19308,19.51747,26953.934,6076.275,99.89696032972695
0022,2,192.57925,51.202194,45304.67,8882.3955,100.0
0022,3,208.86511,48.996853,49380.46,8861.717,100.0
0022,4,139.72873,25.137487,35968.36,6179.182,100.0
0023,1,97.159546,19.825605,27167.807,6112.605,99.94848016486347
0023,2,194.41197,51.034164,45598.33,8925.443,100.0
0023,3,209.78339,48.520123,49575.074,8865.62,100.0
0023,4,140.38327,25.437458,36069.938,6166.4805,100.0
0024,1,99.70677,20.299818,26831.229,6108.657,99.94848016486347
0024,2,196.94095,50.28265,45421.016,9000.157,100.0
0024,3,211.3703,47.326176,49399.074,8982.2295,100.0
0024,4,142.56726,25.58725,35914.066,6214.181,100.0
0025,1,96.0971,19.68014,26611.828,6033.303,99.94848016486347
0025,2,192.32341,51.045296,45056.46,8936.678,100.0
0025,3,207.82553,49.276676,48978.36,8949.921,100.0
0025,4,139.23004,24.91615,35677.19,6167.1333,100.0
0026,1,98.573074,20.128462,26278.092,6021.4185,100.0
0026,2,195.07779,50.277615,44891.523,9031.399,100.0
0026,3,209.55472,47.93136,48816.15,9075.839,100.0
0026,4,141.99078,25.23982,35457.785,6183.5405,100.0
0027,1,93.33985,18.975794,26342.684,5992.911,99.89696032972695
0027,2,187.13141,50.9869,44692.285,8897.01,100.0
0027,3,203.8533,50.68933,48566.164,8955.598,100.0
0027,4,137.97871,24.39026,35605.914,6142.792,100.0
0028,1,98.777016,20.195122,26753.285,6094.455,100.0
0028,2,196.2558,50.783916,45266.4,8984.197,100.0
0028,3,210.14609,48.07468,49107.215,8986.212,100.0
0028,4,141.87796,25.444113,35835.273,6181.2925,100.0
0029,1,96.63106,19.80816,26540.762,6040.6553,99.94848016486347
0029,2,192.914,50.89092,45033.02,8969.924,100.0
0029,3,207.5975,49.06298,48834.457,8987.927,100.0
0029,4,140.63055,25.18117,35857.715,6175.5044,100.0
0030,1,99.794685,20.22767,27010.992,6131.189,99.94848016486347
0030,2,197.70908,50.780716,45394.637,8931.705,100.0
0030,3,211.7402,47.479687,49510.92,8831.869,100.0
0030,4,142.99666,25.673359,36285.246,6197.965,100.0
0031,1,92.39014,18.646454,25958.781,5865.972,100.0
0031,2,186.74846,51.836216,43965.297,8738.55,100.0
0031,3,203.6096,51.36209,47868.984,8810.021,100.0
0031,4,136.60622,24.419281,35578.406,6100.9653,100.0
0032,1,95.755295,19.647081,26772.824,6063.7554,99.79392065945389
0032,2,191.6337,51.284737,45160.65,8935.049,100.0
0032,3,206.58128,49.58426,48950.62,8871.073,100.0
0032,4,139.37952,24.743847,35916.703,6161.699,100.0
0033,1,95.77653,19.590014,26906.146,6084.9385,100.0
0033,2,192.11603,51.438515,45253.7,8929.004,100.0
0033,3,206.623,49.707993,48976.105,8845.023,100.0
0033,4,139.1442,24.85733,36020.617,6134.742,100.0
0034,1,90.52764,18.750944,25997.695,5931.3774,99.79392065945389
0034,2,182.94891,51.31374,44222.79,8888.806,100.0
0034,3,199.83456,52.03289,47938.215,8910.803,100.0
0034,4,135.15295,23.923115,35385.297,6091.499,100.0
0035,1,98.18579,20.185276,26170.094,6061.2505,99.94848016486347
0035,2,194.5471,50.36963,44778.664,9099.623,100.0
0035,3,208.04274,48.29765,48537.844,9094.675,100.0
0035,4,142.68636,25.412155,35633.934,6164.241,100.0
0036,1,93.39461,19.312256,25826.623,5958.8545,99.89696032972695
0036,2,187.47554,50.88468,44279.105,9030.923,100.0
0036,3,202.66483,50.65594,47966.94,9040.672,100.0
0036,4,138.3299,24.459719,35433.516,6121.198,100.0
0037,1,95.47152,19.770897,26390.826,6046.6846,100.0
0037,2,191.39998,51.120903,44887.996,9044.922,100.0
0037,3,205.33882,49.774513,48509.09,8985.996,100.0
0037,4,139.62799,24.87662,35796.32,6140.634,100.0
0038,1,93.55098,19.393448,26164.01,5999.965,99.94848016486347
0038,2,188.03793,51.108913,44624.527,9016.212,100.0
0038,3,202.606,50.776215,48201.582,8976.864,100.0
0038,4,137.49063,24.270102,35697.316,6133.425,100.0
0039,1,95.71446,19.815018,26076.451,6010.3584,99.94848016486347
0039,2,191.83011,51.074795,44615.0,9065.289,100.0
0039,3,205.13356,49.79655,48185.125,9050.788,100.0
0039,4,139.43225,24.805632,35596.7,6135.659,100.0
0040,1,96.77739,20.039978,26677.988,6098.456,100.0
0040,2,193.08006,51.011944,45037.918,9031.72,100.0
0040,3,207.08318,49.161976,48872.215,8809.884,100.0
0040,4,140.54208,25.010202,35873.03,6128.467,100.0
0041,1,95.39376,19.897675,26408.814,6062.0435,99.89696032972695
0041,2,191.29095,51.36615,44818.785,9036.331,100.0
0041,3,205.25203,49.83038,48474.543,8900.718,100.0
0041,4,139.07376,24.696884,35647.004,6114.171,100.0
0042,1,96.610245,20.11199,26246.25,6081.803,99.84544049459042
0042,2,193.22966,51.15668,44803.98,9121.79,100.0
0042,3,206.24707,49.210106,48410.277,9012.397,100.0
0042,4,140.24127,24.955656,35653.1,6129.5884,100.0
0043,1,90.94753,18.959293,25712.299,5938.473,99.69088098918083
0043,2,184.27863,51.468685,44045.395,9008.9,100.0
0043,3,199.14886,51.96351,47552.207,8952.642,100.0
0043,4,135.30635,23.69135,35241.508,6084.337,100.0
0044,1,89.796776,18.752108,24961.357,5803.7847,99.63936115404431
0044,2,181.90031,51.159534,43255.754,8980.001,100.0
0044,3,197.19084,52.379128,46724.863,9013.243,100.0
0044,4,134.04675,23.429928,34787.07,6060.239,100.0
0045,1,91.0001,19.284245,24938.732,5909.564,99.53632148377125
0045,2,183.24626,50.085167,43533.47,9198.062,100.0
0045,3,197.69629,51.24571,47029.89,9202.148,100.0
0045,4,134.68683,23.409227,34801.23,6078.0703,100.0
0046,1,91.21362,19.031456,25210.895,5888.5913,99.74240082431737
0046,2,185.10124,51.424477,43649.96,9041.32,100.0
0046,3,198.71211,51.981964,47035.715,9054.279,100.0
0046,4,135.20505,23.703772,34983.926,6082.8584,100.0
0047,1,93.3855,19.616669,25954.484,6015.6064,99.84544049459042
0047,2,188.56497,51.16962,44536.254,9112.332,100.0
0047,3,201.2409,50.833492,47848.25,9007.986,100.0
0047,4,137.16402,24.135088,35433.4,6093.5317,100.0
0048,1,91.576866,19.416164,25689.08,5989.708,99.58784131890778
0048,2,185.61827,51.12479,44277.723,9120.559,100.0
0048,3,198.69794,51.60416,47551.723,9043.3955,100.0
0048,4,135.55869,23.678764,35199.54,6085.9756,100.0
0049,1,91.293304,19.155117,25421.943,5947.43,99.84544049459042
0049,2,185.97505,51.50271,43961.176,9086.97,100.0
0049,3,198.67793,51.881462,47207.062,9062.224,100.0
0049,4,134.52054,23.674063,35048.1,6050.2,100.0
0050,1,93.51166,19.632471,25895.818,6042.6147,99.58784131890778
0050,2,187.80035,51.082268,44336.73,9166.752,100.0
0050,3,201.36789,50.82405,47967.27,8933.438,100.0
0050,4,137.15697,23.974138,35384.355,6081.917,100.0
