Folder,Sensor,Avg_Tau,Std_Tau,Avg_Intensity,Std_Intensity,Valid_Percent,Decay_Diagnosis
0153,1,0,0,1318.5331,386.20883,0,Normal decay pattern
0153,2,0,0,340.63477,208.32681,0,Normal decay pattern
0153,3,0,0,4653.979,677.044,0,Normal decay pattern
0153,4,0,0,133.52747,92.26326,0,Normal decay pattern
0154,1,0,0,1321.6685,376.86502,0,Normal decay pattern
0154,2,0,0,369.14444,207.3837,0,Normal decay pattern
0154,3,0,0,4590.62,670.19495,0,Normal decay pattern
0154,4,0,0,137.37822,89.256996,0,Normal decay pattern
0155,1,0,0,1313.4432,380.22293,0,Normal decay pattern
0155,2,0,0,359.40497,205.15001,0,Normal decay pattern
0155,3,0,0,4570.282,671.0295,0,Normal decay pattern
0155,4,0,0,124.162384,79.54635,0,Normal decay pattern
0156,1,0,0,1307.4064,377.23837,0,Normal decay pattern
0156,2,0,0,359.54028,205.72476,0,Normal decay pattern
0156,3,0,0,4536.2515,673.3712,0,Normal decay pattern
0156,4,0,0,109.724884,74.497406,0,Normal decay pattern
0157,1,0,0,1241.8237,363.52286,0,Normal decay pattern
0157,2,0,0,326.1774,194.46321,0,Normal decay pattern
0157,3,0,0,4359.6323,656.3762,0,Normal decay pattern
0157,4,0,0,88.250496,61.19582,0,Normal decay pattern
0158,1,0,0,1309.5376,376.66718,0,Normal decay pattern
0158,2,0,0,366.98706,208.16249,0,Normal decay pattern
0158,3,0,0,4504.8613,666.9831,0,Normal decay pattern
0158,4,0,0,99.97268,64.18538,0,Normal decay pattern
0159,1,0,0,1213.3412,359.58713,0,Normal decay pattern
0159,2,0,0,318.16336,187.4206,0,Normal decay pattern
0159,3,0,0,4328.8057,663.89954,0,Normal decay pattern
0159,4,0,0,75.97419,52.41912,0,Normal decay pattern
0160,1,0,0,1334.5039,376.89148,0,Normal decay pattern
0160,2,0,0,380.35718,213.04633,0,Normal decay pattern
0160,3,0,0,4542.1597,675.33154,0,Normal decay pattern
0160,4,0,0,87.79881,57.501713,0,Normal decay pattern
0161,1,0,0,1392.113,390.78638,0,Normal decay pattern
0161,2,0,0,406.58228,227.06387,0,Normal decay pattern
0161,3,0,0,4647.951,681.6723,0,Normal decay pattern
0161,4,0,0,90.87446,59.45311,0,Normal decay pattern
0162,1,0,0,1371.8019,382.8834,0,Normal decay pattern
0162,2,0,0,404.2433,222.13692,0,Normal decay pattern
0162,3,0,0,4599.7476,680.45557,0,Normal decay pattern
0162,4,0,0,81.40324,54.922302,0,Normal decay pattern
0163,1,0,0,1350.1869,395.45068,0,Normal decay pattern
0163,2,0,0,348.306,210.31708,0,Normal decay pattern
