ReadID,PartialType
0_Z2SFTS_1,partial_P5
2_Z2SFTS_1,both_partial
4_Z2SFTS_1,partial_P5
5_Z2SFTS_1,partial_P5
10_Z2SFTS_1,partial_P5
12_Z2SFTS_1,partial_P7
14_Z2SFTS_1,partial_P5
16_Z2SFTS_1,partial_P5
17_Z2SFTS_1,partial_P5
19_Z2SFTS_1,partial_P7
21_Z2SFTS_1,partial_P5
22_Z2SFTS_1,partial_P5
23_Z2SFTS_1,partial_P5
24_Z2SFTS_1,partial_P5
25_Z2SFTS_1,partial_P7
27_Z2SFTS_1,partial_P5
28_Z2SFTS_1,partial_P5
29_Z2SFTS_1,partial_P5
30_Z2SFTS_1,partial_P5
32_Z2SFTS_1,partial_P7
33_Z2SFTS_1,partial_P7
34_Z2SFTS_1,both_partial
35_Z2SFTS_1,partial_P7
36_Z2SFTS_1,partial_P5
38_Z2SFTS_1,partial_P5
40_Z2SFTS_1,partial_P5
42_Z2SFTS_1,partial_P5
43_Z2SFTS_1,partial_P7
44_Z2SFTS_1,both_partial
47_Z2SFTS_1,partial_P5
50_Z2SFTS_1,partial_P5
51_Z2SFTS_1,both_partial
52_Z2SFTS_1,partial_P5
53_Z2SFTS_1,both_partial
54_Z2SFTS_1,partial_P5
56_Z2SFTS_1,partial_P5
60_Z2SFTS_1,both_partial
61_Z2SFTS_1,partial_P5
62_Z2SFTS_1,partial_P5
64_Z2SFTS_1,partial_P7
65_Z2SFTS_1,partial_P7
66_Z2SFTS_1,partial_P7
70_Z2SFTS_1,partial_P5
75_Z2SFTS_1,partial_P7
76_Z2SFTS_1,partial_P5
77_Z2SFTS_1,partial_P7
78_Z2SFTS_1,partial_P5
79_Z2SFTS_1,partial_P5
80_Z2SFTS_1,partial_P5
81_Z2SFTS_1,partial_P5
82_Z2SFTS_1,partial_P5
84_Z2SFTS_1,partial_P5
85_Z2SFTS_1,partial_P5
87_Z2SFTS_1,partial_P5
88_Z2SFTS_1,partial_P7
89_Z2SFTS_1,partial_P5
91_Z2SFTS_1,partial_P5
92_Z2SFTS_1,partial_P5
94_Z2SFTS_1,partial_P5
95_Z2SFTS_1,partial_P7
96_Z2SFTS_1,partial_P5
98_Z2SFTS_1,partial_P5
100_Z2SFTS_1,partial_P5
102_Z2SFTS_1,partial_P5
103_Z2SFTS_1,partial_P5
106_Z2SFTS_1,partial_P5
107_Z2SFTS_1,partial_P5
108_Z2SFTS_1,partial_P5
109_Z2SFTS_1,partial_P5
110_Z2SFTS_1,partial_P5
112_Z2SFTS_1,partial_P7
114_Z2SFTS_1,partial_P5
115_Z2SFTS_1,partial_P5
117_Z2SFTS_1,partial_P5
118_Z2SFTS_1,partial_P5
119_Z2SFTS_1,partial_P5
120_Z2SFTS_1,partial_P5
121_Z2SFTS_1,partial_P5
122_Z2SFTS_1,partial_P5
123_Z2SFTS_1,partial_P5
124_Z2SFTS_1,partial_P5
125_Z2SFTS_1,partial_P5
126_Z2SFTS_1,partial_P7
127_Z2SFTS_1,partial_P5
128_Z2SFTS_1,partial_P7
129_Z2SFTS_1,partial_P5
130_Z2SFTS_1,partial_P5
131_Z2SFTS_1,partial_P5
132_Z2SFTS_1,partial_P5
133_Z2SFTS_1,partial_P5
135_Z2SFTS_1,partial_P5
136_Z2SFTS_1,partial_P5
137_Z2SFTS_1,partial_P5
138_Z2SFTS_1,partial_P5
141_Z2SFTS_1,partial_P5
142_Z2SFTS_1,partial_P5
143_Z2SFTS_1,partial_P7
144_Z2SFTS_1,partial_P5
145_Z2SFTS_1,partial_P5
146_Z2SFTS_1,partial_P5
147_Z2SFTS_1,partial_P7
148_Z2SFTS_1,partial_P7
149_Z2SFTS_1,partial_P5
150_Z2SFTS_1,partial_P5
151_Z2SFTS_1,partial_P5
152_Z2SFTS_1,partial_P5
153_Z2SFTS_1,partial_P5
158_Z2SFTS_1,partial_P5
160_Z2SFTS_1,partial_P5
161_Z2SFTS_1,partial_P5
163_Z2SFTS_1,partial_P5
164_Z2SFTS_1,partial_P5
165_Z2SFTS_1,partial_P7
166_Z2SFTS_1,partial_P5
167_Z2SFTS_1,partial_P7
168_Z2SFTS_1,partial_P5
171_Z2SFTS_1,partial_P5
173_Z2SFTS_1,partial_P7
174_Z2SFTS_1,partial_P5
175_Z2SFTS_1,partial_P7
177_Z2SFTS_1,partial_P5
178_Z2SFTS_1,partial_P5
179_Z2SFTS_1,partial_P7
180_Z2SFTS_1,partial_P5
181_Z2SFTS_1,partial_P7
182_Z2SFTS_1,partial_P5
183_Z2SFTS_1,partial_P5
184_Z2SFTS_1,partial_P5
185_Z2SFTS_1,partial_P5
186_Z2SFTS_1,partial_P5
187_Z2SFTS_1,partial_P5
188_Z2SFTS_1,partial_P5
189_Z2SFTS_1,partial_P5
190_Z2SFTS_1,partial_P5
191_Z2SFTS_1,partial_P7
192_Z2SFTS_1,partial_P5
193_Z2SFTS_1,partial_P5
194_Z2SFTS_1,partial_P7
195_Z2SFTS_1,partial_P7
196_Z2SFTS_1,partial_P5
197_Z2SFTS_1,partial_P5
198_Z2SFTS_1,partial_P5
199_Z2SFTS_1,partial_P5
200_Z2SFTS_1,partial_P7
201_Z2SFTS_1,partial_P7
202_Z2SFTS_1,partial_P5
203_Z2SFTS_1,partial_P5
204_Z2SFTS_1,partial_P5
205_Z2SFTS_1,partial_P5
206_Z2SFTS_1,partial_P7
207_Z2SFTS_1,partial_P7
209_Z2SFTS_1,partial_P5
210_Z2SFTS_1,partial_P7
211_Z2SFTS_1,partial_P5
212_Z2SFTS_1,partial_P5
213_Z2SFTS_1,partial_P7
214_Z2SFTS_1,partial_P5
215_Z2SFTS_1,partial_P5
216_Z2SFTS_1,partial_P5
217_Z2SFTS_1,partial_P5
218_Z2SFTS_1,partial_P5
219_Z2SFTS_1,partial_P7
220_Z2SFTS_1,partial_P5
221_Z2SFTS_1,partial_P5
222_Z2SFTS_1,partial_P5
223_Z2SFTS_1,partial_P5
224_Z2SFTS_1,partial_P5
225_Z2SFTS_1,partial_P5
226_Z2SFTS_1,partial_P5
230_Z2SFTS_1,partial_P5
231_Z2SFTS_1,partial_P5
232_Z2SFTS_1,partial_P7
234_Z2SFTS_1,partial_P5
236_Z2SFTS_1,partial_P5
237_Z2SFTS_1,partial_P5
238_Z2SFTS_1,both_partial
239_Z2SFTS_1,partial_P5
240_Z2SFTS_1,partial_P5
241_Z2SFTS_1,partial_P5
244_Z2SFTS_1,partial_P5
245_Z2SFTS_1,partial_P5
246_Z2SFTS_1,partial_P5
247_Z2SFTS_1,partial_P5
248_Z2SFTS_1,partial_P5
249_Z2SFTS_1,partial_P5
250_Z2SFTS_1,partial_P5
251_Z2SFTS_1,partial_P5
252_Z2SFTS_1,partial_P5
254_Z2SFTS_1,partial_P7
255_Z2SFTS_1,partial_P7
256_Z2SFTS_1,partial_P7
257_Z2SFTS_1,partial_P5
258_Z2SFTS_1,partial_P7
259_Z2SFTS_1,partial_P5
260_Z2SFTS_1,partial_P5
262_Z2SFTS_1,partial_P5
265_Z2SFTS_1,partial_P7
266_Z2SFTS_1,partial_P5
267_Z2SFTS_1,partial_P5
268_Z2SFTS_1,partial_P5
269_Z2SFTS_1,partial_P5
270_Z2SFTS_1,partial_P5
271_Z2SFTS_1,partial_P5
272_Z2SFTS_1,partial_P5
273_Z2SFTS_1,partial_P5
274_Z2SFTS_1,partial_P5
275_Z2SFTS_1,partial_P5
276_Z2SFTS_1,partial_P5
278_Z2SFTS_1,partial_P5
279_Z2SFTS_1,partial_P5
280_Z2SFTS_1,partial_P7
281_Z2SFTS_1,partial_P5
282_Z2SFTS_1,partial_P5
283_Z2SFTS_1,partial_P5
285_Z2SFTS_1,partial_P5
